timestamp,controller_timestamp_s,label,joint_name,servo_id,control_name,control_value,delta_time_s,target_rate_deg_s,measured_velocity_deg_s,command_speed,command_acceleration,target_angle_deg,current_angle_deg,angle_error_deg,target_position_counts,current_position_counts,position_error_counts,raw_load,load_magnitude,load_direction,load_percent,voltage_v,temperature_c,current_a,moving
2026-08-27T12:28:42.274550-03:00,56648.284377,speed700_acc30_l2,gripper,6,l2,0.019608,0.020104,-1.176471,0.000000,700,30,27.661895,27.685547,0.023652,2385,2385,0,0,0,positiva,0.0,9.30,33.0,0.0000,False
2026-08-27T12:28:42.310623-03:00,56648.320967,speed700_acc30_l2,gripper,6,l2,0.094118,0.036590,-5.647059,-0.000003,700,30,27.455270,27.685547,0.230277,2382,2385,3,0,0,positiva,0.0,9.30,33.0,0.0000,True
2026-08-27T12:28:42.346530-03:00,56648.356867,speed700_acc30_l2,gripper,6,l2,0.266667,0.035900,-16.000000,-0.000003,700,30,26.880865,27.685547,0.804682,2376,2385,9,32,32,positiva,3.2,9.30,33.0,0.0000,True
2026-08-27T12:28:42.382550-03:00,56648.392866,speed700_acc30_l2,gripper,6,l2,0.435294,0.035999,-26.117647,-0.000003,700,30,25.940652,27.685547,1.744895,2365,2385,20,48,48,positiva,4.8,9.30,33.0,0.0065,True
2026-08-27T12:28:42.418646-03:00,56648.428893,speed700_acc30_l2,gripper,6,l2,0.486275,0.036026,-29.176471,-0.000003,700,30,24.889536,27.685547,2.796010,2353,2385,32,84,84,positiva,8.4,9.30,33.0,0.0195,True
2026-08-27T12:28:42.454459-03:00,56648.464856,speed700_acc30_l2,gripper,6,l2,0.529412,0.035963,-31.764706,-7.331739,700,30,23.747179,27.421875,3.674696,2340,2382,42,100,100,positiva,10.0,9.30,33.0,0.0065,True
2026-08-27T12:28:42.490339-03:00,56648.500667,speed700_acc30_l2,gripper,6,l2,0.650980,0.035811,-39.058824,-17.179861,700,30,22.348429,26.806641,4.458211,2324,2375,51,116,116,positiva,11.6,9.30,33.0,0.0065,True
2026-08-27T12:28:42.526209-03:00,56648.536555,speed700_acc30_l2,gripper,6,l2,0.698039,0.035888,-41.882353,-19.592003,700,30,20.845339,26.103516,5.258176,2307,2367,60,136,136,positiva,13.6,9.30,33.0,0.0130,True
2026-08-27T12:28:42.561904-03:00,56648.572231,speed700_acc30_l2,gripper,6,l2,0.835294,0.035675,-50.117647,-22.172630,700,30,19.057375,25.312500,6.255125,2287,2358,71,148,148,positiva,14.8,9.30,33.0,0.0130,True
2026-08-27T12:28:42.597657-03:00,56648.607992,speed700_acc30_l2,gripper,6,l2,0.933333,0.035761,-56.000000,-24.577078,700,30,17.054747,24.433594,7.378846,2264,2348,84,160,160,positiva,16.0,9.30,33.0,0.0130,True
2026-08-27T12:28:42.633627-03:00,56648.643994,speed700_acc30_l2,gripper,6,l2,0.964706,0.036002,-57.882353,-29.295574,700,30,14.970890,23.378906,8.408017,2240,2336,96,176,176,positiva,17.6,9.30,33.0,0.0195,True
2026-08-27T12:28:42.669498-03:00,56648.679714,speed700_acc30_l2,gripper,6,l2,0.980392,0.035720,-58.823529,-36.907801,700,30,12.869693,22.060547,9.190854,2216,2321,105,192,192,positiva,19.2,9.30,33.0,0.0130,True
2026-08-27T12:28:42.705400-03:00,56648.715699,speed700_acc30_l2,gripper,6,l2,1.000000,0.035985,-60.000000,-36.636299,700,30,10.710589,20.742188,10.031598,2192,2306,114,204,204,positiva,20.4,9.30,33.0,0.0195,True
2026-08-27T12:28:42.741230-03:00,56648.751591,speed700_acc30_l2,gripper,6,l2,1.000000,0.035892,-60.000000,-41.628924,700,30,8.557076,19.248047,10.690971,2167,2289,122,224,224,positiva,22.4,9.30,33.0,0.0260,True
2026-08-27T12:28:42.777471-03:00,56648.787785,speed700_acc30_l2,gripper,6,l2,1.000000,0.036194,-60.000000,-43.709756,700,30,6.385435,17.666016,11.280581,2143,2271,128,232,232,positiva,23.2,9.30,33.0,0.0195,True
2026-08-27T12:28:42.813172-03:00,56648.823546,speed700_acc30_l2,gripper,6,l2,1.000000,0.035761,-60.000000,-46.696584,700,30,4.239768,15.996094,11.756326,2118,2252,134,236,236,positiva,23.6,9.30,33.0,0.0130,True
2026-08-27T12:28:42.848890-03:00,56648.859218,speed700_acc30_l2,gripper,6,l2,1.000000,0.035672,-60.000000,-49.276633,700,30,2.099427,14.238281,12.138854,2094,2232,138,248,248,positiva,24.8,9.30,33.0,0.0260,True
